"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 28 15:29:27 GMT 2024","Mon Oct 28 15:29:32 GMT 2024","5124","mobile","2-delegation/delegation.spec.ts","","","","2K_3. Should sort DReps randomly",""
"failed","Mon Oct 28 15:38:35 GMT 2024","Mon Oct 28 15:39:01 GMT 2024","25370","dRep","3-drep-registration/dRepRegistration.dRep.spec.ts","Temporary DReps","","","3G. Should show confirmation message with link to view transaction, when DRep registration txn is submitted",""
"passed","Mon Oct 28 15:28:44 GMT 2024","Mon Oct 28 15:28:50 GMT 2024","5653","independent (desktop)","6-miscellaneous/miscellaneous.spec.ts","","","","6S. Should Warn users that they are in bootstrapping phase via banner",""
"passed","Mon Oct 28 15:32:36 GMT 2024","Mon Oct 28 15:32:42 GMT 2024","6380","loggedin (desktop)","6-miscellaneous/miscellaneous.loggedin.spec.ts","Logged in user","","","6I. Should prompt for a username after clicking on proposal discussion link if username is not set",""
"passed","Mon Oct 28 15:27:17 GMT 2024","Mon Oct 28 15:27:26 GMT 2024","8545","auth setup","auth.setup.ts","","","","Create AdaHolder 04 auth",""
"passed","Mon Oct 28 15:34:53 GMT 2024","Mon Oct 28 15:35:19 GMT 2024","26826","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Verify Proposal form","","","7D_2. Verify treasury proposal form",""
"passed","Mon Oct 28 15:41:38 GMT 2024","Mon Oct 28 15:42:05 GMT 2024","27280","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Check voting power","","","5K. Should return deposit on DRep retirement",""
"passed","Mon Oct 28 15:33:18 GMT 2024","Mon Oct 28 15:33:52 GMT 2024","33208","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Create a proposal with proper data","","","7G_1. Should create a proposal with proper info data",""
"failed","Mon Oct 28 15:43:07 GMT 2024","Mon Oct 28 15:43:30 GMT 2024","23063","delegation","2-delegation/delegationFunctionality.delegation.spec.ts","Register DRep state","","","2S. Should retire as a Direct Voter on delegating to another DRep",""
"failed","Mon Oct 28 15:39:51 GMT 2024","Mon Oct 28 15:40:04 GMT 2024","12676","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Proposal checks","","","5A. Should show relevant details about governance action as DRep",""
"passed","Mon Oct 28 15:27:06 GMT 2024","Mon Oct 28 15:27:18 GMT 2024","11572","auth setup","auth.setup.ts","","","","Create AdaHolder 01 auth",""
"passed","Mon Oct 28 15:31:24 GMT 2024","Mon Oct 28 15:31:48 GMT 2024","24473","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","Validation of dRep Registration Form","","","3E_1. Should accept valid data in DRep form",""
"passed","Mon Oct 28 15:38:44 GMT 2024","Mon Oct 28 15:38:53 GMT 2024","8464","dRep","3-drep-registration/dRepRegistration.dRep.spec.ts","Temporary DReps","","","3J. Should verify retire as DRep",""
"passed","Mon Oct 28 15:27:17 GMT 2024","Mon Oct 28 15:27:27 GMT 2024","9236","auth setup","auth.setup.ts","","","","Create AdaHolder 03 auth",""
"passed","Mon Oct 28 15:31:26 GMT 2024","Mon Oct 28 15:31:50 GMT 2024","24415","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","Validation of dRep Registration Form","","","3E_2. Should reject invalid data in DRep form",""
"passed","Mon Oct 28 15:27:58 GMT 2024","Mon Oct 28 15:28:29 GMT 2024","30812","faucet setup","faucet.setup.ts","","","","Faucet setup",""
"broken","Mon Oct 28 15:41:17 GMT 2024","Mon Oct 28 15:53:47 GMT 2024","750447","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Perform voting","","","5E. Should re-vote with new data on a already voted governance action",""
"passed","Mon Oct 28 15:30:38 GMT 2024","Mon Oct 28 15:30:43 GMT 2024","4441","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","Mocked proposal","","","8I. Should disable poll voting functionality.",""
"failed","Mon Oct 28 15:41:43 GMT 2024","Mon Oct 28 15:41:56 GMT 2024","12534","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Bootstrap phase","","","5L. Should restrict dRep votes to Info Governance actions During Bootstrapping Phase",""
"failed","Mon Oct 28 15:42:51 GMT 2024","Mon Oct 28 15:43:15 GMT 2024","23867","delegation","2-delegation/delegationFunctionality.delegation.spec.ts","Register DRep state","","","2E. Should register as Direct voter",""
"passed","Mon Oct 28 15:28:12 GMT 2024","Mon Oct 28 15:28:44 GMT 2024","32273","independent (desktop)","2-delegation/delegation.spec.ts","","","","2K_1. Should filter DReps",""
"passed","Mon Oct 28 15:37:00 GMT 2024","Mon Oct 28 15:38:00 GMT 2024","60271","loggedin (desktop)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","Proposal created with poll enabled (proposal auth)","","","8P. Should add poll on own proposal",""
"failed","Mon Oct 28 15:38:23 GMT 2024","Mon Oct 28 15:38:33 GMT 2024","9519","dRep","2-delegation/delegation.drep.spec.ts","","","","2M. Should access dRep directory page on disconnected state",""
"passed","Mon Oct 28 15:38:09 GMT 2024","Mon Oct 28 15:38:17 GMT 2024","7990","dRep","2-delegation/delegation.drep.spec.ts","","","","2C. Should open wallet connection popup on delegate in disconnected state",""
"passed","Mon Oct 28 15:29:10 GMT 2024","Mon Oct 28 15:29:19 GMT 2024","9244","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8S. Should restrict proposal creation on disconnected state",""
"passed","Mon Oct 28 15:31:11 GMT 2024","Mon Oct 28 15:31:14 GMT 2024","3160","loggedin (desktop)","2-delegation/delegation.loggedin.spec.ts","","","","2D. Should show delegation options in connected state",""
"passed","Mon Oct 28 15:53:49 GMT 2024","Mon Oct 28 15:53:50 GMT 2024","1286","cleanup dRep","dRep.teardown.ts","","","","DRep de-registration",""
"passed","Mon Oct 28 15:32:07 GMT 2024","Mon Oct 28 15:32:17 GMT 2024","10537","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4C_3. Should filter and sort Governance Action Type on governance actions page",""
"passed","Mon Oct 28 15:30:31 GMT 2024","Mon Oct 28 15:30:40 GMT 2024","8275","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8S. Should restrict proposal creation on disconnected state",""
"passed","Mon Oct 28 15:27:26 GMT 2024","Mon Oct 28 15:27:53 GMT 2024","26580","auth setup","auth.setup.ts","","","","Create Proposal 03 auth",""
"passed","Mon Oct 28 15:54:01 GMT 2024","Mon Oct 28 15:54:50 GMT 2024","48832","cleanup faucet","faucet.teardown.ts","","","","Refund faucet",""
"passed","Mon Oct 28 15:29:34 GMT 2024","Mon Oct 28 15:30:07 GMT 2024","33128","mobile","2-delegation/delegation.spec.ts","","","","2K_1. Should filter DReps",""
"passed","Mon Oct 28 15:31:14 GMT 2024","Mon Oct 28 15:31:17 GMT 2024","3030","loggedin (desktop)","2-delegation/delegation.loggedin.spec.ts","","","","2X_1. Should include info button and voting power on the Abstain card",""
"passed","Mon Oct 28 15:30:11 GMT 2024","Mon Oct 28 15:30:21 GMT 2024","10173","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8A. Should access proposed governance actions in disconnected state",""
