"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9543","9A_1. Should access Outcomes page in disconnect state","independent (desktop)","Wed Jun 11 06:52:58 GMT 2025","passed","Wed Jun 11 06:53:08 GMT 2025","Outcomes page","9-outcomes/outcomes.spec.ts","",""
"","51171","12D_3. Should verify all field of “proposal details” section","budget proposal","Wed Jun 11 07:10:56 GMT 2025","passed","Wed Jun 11 07:11:47 GMT 2025","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field verification","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","5311","4A_2. Should access Governance Actions page without connecting wallet","mobile","Wed Jun 11 06:56:57 GMT 2025","passed","Wed Jun 11 06:57:02 GMT 2025","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","18123","4L. Should search governance actions","independent (desktop)","Wed Jun 11 06:50:58 GMT 2025","passed","Wed Jun 11 06:51:16 GMT 2025","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","47679","11G. Should sort the budget proposal comments","budget proposal","Wed Jun 11 07:10:01 GMT 2025","passed","Wed Jun 11 07:10:49 GMT 2025","Budget proposal logged in state","11-proposal-budget/proposalBudget.loggedin.pb.spec.ts","",""
"","17327","4K. Should display correct vote counts on governance details page for disconnect state","mobile","Wed Jun 11 06:57:20 GMT 2025","passed","Wed Jun 11 06:57:37 GMT 2025","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","5333","2H. Should prompt to change delegation after delegation","delegation","Wed Jun 11 07:27:11 GMT 2025","passed","Wed Jun 11 07:27:16 GMT 2025","Delegate to others","2-delegation/delegationFunctionality.delegation.spec.ts","",""
"","71228","12F_7. Should reject invalid data in “Submit” section","budget proposal","Wed Jun 11 07:15:42 GMT 2025","passed","Wed Jun 11 07:16:54 GMT 2025","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field validation","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","17630","8H. Should disable proposal interaction on a disconnected state.","mobile","Wed Jun 11 06:58:36 GMT 2025","passed","Wed Jun 11 06:58:54 GMT 2025","","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","119657","Setup temporary DRep wallets","dRep setup","Wed Jun 11 07:01:23 GMT 2025","passed","Wed Jun 11 07:03:23 GMT 2025","","dRep.setup.ts","",""
"","6258","3P. Should reject invalid edit dRep metadata","dRep","Wed Jun 11 07:24:32 GMT 2025","passed","Wed Jun 11 07:24:38 GMT 2025","","3-drep-registration/editDRep.dRep.spec.ts","",""
"","10473","6M. Should navigate between footer links","independent (desktop)","Wed Jun 11 06:51:40 GMT 2025","passed","Wed Jun 11 06:51:51 GMT 2025","","6-miscellaneous/miscellaneous.spec.ts","",""
"","12509","9H_4B: Should display ""Data Not Verifiable"" message in outcomes when metadata hash and URL do not match and is incorrect ga format","loggedin (desktop)","Wed Jun 11 07:20:07 GMT 2025","passed","Wed Jun 11 07:20:20 GMT 2025","Outcome details > Invalid Outcome Metadata","9-outcomes/outcomes.loggedin.spec.ts","",""
"","15149","4L. Should search governance actions","mobile","Wed Jun 11 06:57:09 GMT 2025","passed","Wed Jun 11 06:57:24 GMT 2025","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","29832","11E. Should view comments with count indications on a budget proposal","independent (desktop)","Wed Jun 11 06:49:27 GMT 2025","passed","Wed Jun 11 06:49:57 GMT 2025","","11-proposal-budget/proposalBudget.spec.ts","",""
"","44015","12D_1. Should verify all field of “proposal ownership” section","budget proposal","Wed Jun 11 07:10:49 GMT 2025","passed","Wed Jun 11 07:11:33 GMT 2025","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field verification","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
