"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 15:20:51 GMT 2024","Mon Oct 28 15:21:02 GMT 2024","11229","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8S. Should restrict proposal creation on disconnected state",""
"passed","Mon Oct 28 15:22:38 GMT 2024","Mon Oct 28 15:24:33 GMT 2024","114864","dRep setup","dRep.setup.ts","","","","Setup temporary DRep wallets",""
"passed","Mon Oct 28 15:20:27 GMT 2024","Mon Oct 28 15:20:32 GMT 2024","4637","independent (desktop)","6-miscellaneous/miscellaneous.spec.ts","","","","6T. Should display proper network name",""
"passed","Mon Oct 28 15:21:43 GMT 2024","Mon Oct 28 15:22:03 GMT 2024","20252","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","Filter and sort proposals","","","8B_2. Should sort the list of proposed governance actions.",""
"passed","Mon Oct 28 15:27:45 GMT 2024","Mon Oct 28 15:28:45 GMT 2024","59410","loggedin (desktop)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","Proposal created logged in state","","","8J. Should sort the proposed governance action comments.",""
"failed","Mon Oct 28 15:29:54 GMT 2024","Mon Oct 28 15:30:20 GMT 2024","25804","dRep","3-drep-registration/dRepRegistration.dRep.spec.ts","Temporary DReps","","","3I. Should display 'In Progress' status on dashboard until blockchain confirms DRep registration",""
"broken","Mon Oct 28 15:30:35 GMT 2024","Mon Oct 28 15:32:06 GMT 2024","90269","dRep","4-proposal-visibility/proposalVisibility.dRep.spec.ts","Logged in DRep > vote context metadata anchor validation","","","4N. Should accept valid metadata anchor on vote context",""
"passed","Mon Oct 28 15:26:22 GMT 2024","Mon Oct 28 15:27:07 GMT 2024","44652","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > proposed as a governance action > Metadata anchor validation","","","7J_2. Should reject invalid metadata anchor on proposal submission",""
"passed","Mon Oct 28 15:25:56 GMT 2024","Mon Oct 28 15:26:20 GMT 2024","23891","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Review fillup form","","","7I_2. Should valid review submission in treasury Proposal form",""
"passed","Mon Oct 28 15:26:20 GMT 2024","Mon Oct 28 15:26:46 GMT 2024","25790","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Verify Proposal form","","","7D_2. Verify treasury proposal form",""
"passed","Mon Oct 28 15:22:06 GMT 2024","Mon Oct 28 15:22:11 GMT 2024","5821","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","Mocked proposal","","","8I. Should disable poll voting functionality.",""
"passed","Mon Oct 28 15:20:10 GMT 2024","Mon Oct 28 15:20:19 GMT 2024","9604","independent (desktop)","6-miscellaneous/miscellaneous.spec.ts","","","","6D. Should open Sanchonet docs in a new tab when clicking `Learn More` on dashboards in disconnected state.",""
"passed","Mon Oct 28 15:23:04 GMT 2024","Mon Oct 28 15:23:21 GMT 2024","17164","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","Validation of dRep Registration Form","","","3E_1. Should accept valid data in DRep form",""
"passed","Mon Oct 28 15:20:35 GMT 2024","Mon Oct 28 15:20:54 GMT 2024","19663","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8D.Should show the view-all categorized proposed governance actions.",""
