"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 07:45:06 GMT 2024","Wed Jul 24 07:45:14 GMT 2024","8711","loggedin (desktop)","6-miscellaneous/miscellaneous.loggedin.spec.ts","Logged in user","","","6F. Should open sanchonet docs in a new tab when clicking `info` button of abstain and signal-no-confidence card",""
"passed","Wed Jul 24 07:39:01 GMT 2024","Wed Jul 24 07:39:09 GMT 2024","7843","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","Mocked proposal","","","8I. Should disable poll voting functionality.",""
"failed","Wed Jul 24 07:38:18 GMT 2024","Wed Jul 24 07:38:27 GMT 2024","8337","independent (desktop)","4-proposal-visibility/proposalVisibility.spec.ts","","","","4K. Should display correct vote counts on governance details page for disconnect state",""
"passed","Wed Jul 24 07:39:39 GMT 2024","Wed Jul 24 07:39:45 GMT 2024","6432","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8A. Should access proposed governance actions in disconnected state",""
"passed","Wed Jul 24 07:44:12 GMT 2024","Wed Jul 24 07:45:38 GMT 2024","86969","dRep setup","dRep.setup.ts","","","","Setup temporary DRep wallets",""
"failed","Wed Jul 24 07:47:59 GMT 2024","Wed Jul 24 07:49:19 GMT 2024","80243","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Treasury Proposal Draft","","","7M_2. Should edit a treasury proposal draft",""
"passed","Wed Jul 24 07:37:40 GMT 2024","Wed Jul 24 07:38:03 GMT 2024","23083","auth setup","auth.setup.ts","","","","Create Proposal 02 auth",""
"passed","Wed Jul 24 07:38:46 GMT 2024","Wed Jul 24 07:39:01 GMT 2024","14610","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8H. Should disable proposal interaction on a disconnected state.",""
"passed","Wed Jul 24 07:44:11 GMT 2024","Wed Jul 24 07:44:18 GMT 2024","6310","loggedin (desktop)","1-wallet-connect/walletConnect.loggedin.spec.ts","","","","1B. Should connect wallet with single stake key",""
"passed","Wed Jul 24 07:45:12 GMT 2024","Wed Jul 24 07:45:19 GMT 2024","6099","loggedin (desktop)","6-miscellaneous/miscellaneous.loggedin.spec.ts","Logged in user","","","6I. Should prompt for a username after clicking on proposal discussion link if username is not set",""
"passed","Wed Jul 24 07:44:21 GMT 2024","Wed Jul 24 07:44:48 GMT 2024","27827","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","Validation of dRep Registration Form","","","3E_1. Should accept valid data in DRep form",""
"broken","Wed Jul 24 07:51:14 GMT 2024","Wed Jul 24 07:52:45 GMT 2024","90833","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Proposal checks","","","5A. Should show relevant details about governance action as DRep",""
"failed","Wed Jul 24 07:47:34 GMT 2024","Wed Jul 24 07:49:01 GMT 2024","87701","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Info Proposal Draft","","","7M_1. Should edit a info proposal draft",""
"passed","Wed Jul 24 07:50:09 GMT 2024","Wed Jul 24 07:50:22 GMT 2024","12488","dRep","2-delegation/delegation.drep.spec.ts","","","","2J. Should search by DRep id",""
"passed","Wed Jul 24 07:45:32 GMT 2024","Wed Jul 24 07:49:06 GMT 2024","213783","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Accept valid data","","","7E_1. Should accept valid data in info proposal form",""
"failed","Wed Jul 24 07:46:10 GMT 2024","Wed Jul 24 07:46:53 GMT 2024","43023","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Review fillup form","","","7I_2. Should valid review submission in treasury Proposal form",""
"passed","Wed Jul 24 07:37:41 GMT 2024","Wed Jul 24 07:38:02 GMT 2024","20980","auth setup","auth.setup.ts","","","","Create Proposal 07 auth",""
"passed","Wed Jul 24 07:49:29 GMT 2024","Wed Jul 24 07:50:04 GMT 2024","35621","loggedin (desktop)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","Proposal created with poll enabled (proposal auth)","","","8R. Should disable voting after cancelling the poll with the current poll result.",""
"passed","Wed Jul 24 07:39:32 GMT 2024","Wed Jul 24 07:39:40 GMT 2024","7641","mobile","6-miscellaneous/miscellaneous.spec.ts","User Snap > Feedback Tests","","","6Q. Should report an issue",""
"passed","Wed Jul 24 07:37:28 GMT 2024","Wed Jul 24 07:37:41 GMT 2024","12822","auth setup","auth.setup.ts","","","","Create User 01 auth",""
"failed","Wed Jul 24 07:46:03 GMT 2024","Wed Jul 24 07:46:48 GMT 2024","44825","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Create a proposal with proper data","","","7G_2. Should create a proposal with proper treasury data",""
"failed","Wed Jul 24 07:54:21 GMT 2024","Wed Jul 24 07:54:35 GMT 2024","13418","delegation","2-delegation/delegationFunctionality.delegation.spec.ts","Register DRep state","","","2S. Should retire as a Direct Voter on delegating to another DRep",""
"passed","Wed Jul 24 07:44:12 GMT 2024","Wed Jul 24 07:47:24 GMT 2024","192593","dRep setup","dRep.setup.ts","","","","Register DRep of static wallets",""
"passed","Wed Jul 24 07:54:46 GMT 2024","Wed Jul 24 07:54:54 GMT 2024","8315","delegation","2-delegation/delegationFunctionality.delegation.spec.ts","Multiple delegations","","","2R. Should display a modal indicating waiting for previous transaction when delegating if the previous transaction is not completed",""
