"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77305","8G. Should display the proper likes and dislikes count","proposal discussion (loggedin)","Wed Jul 23 16:56:55 GMT 2025","passed","Wed Jul 23 16:58:13 GMT 2025","Proposal created logged in state","8-proposal-discussion/proposalDiscussion.loggedin.pd.spec.ts","",""
"","180620","10E. Should submit an idea or new feature","independent (desktop)","Wed Jul 23 16:35:30 GMT 2025","broken","Wed Jul 23 16:38:31 GMT 2025","Submit Usersnap","10-user-snap/userSnap.spec.ts","",""
"","8783","3L_2. Should reject invalid dRep metadata anchor on create dRep","loggedin (desktop)","Wed Jul 23 17:05:44 GMT 2025","passed","Wed Jul 23 17:05:52 GMT 2025","Validation of dRep Registration Form","3-drep-registration/dRepRegistration.loggedin.spec.ts","",""
"","8501","1C. Should disconnect Wallet When connected","independent (desktop)","Wed Jul 23 16:35:15 GMT 2025","passed","Wed Jul 23 16:35:23 GMT 2025","","1-wallet-connect/walletConnect.spec.ts","",""
"","61396","7E_1. Should accept valid data in info action proposal form","proposal discussion (loggedin)","Wed Jul 23 16:51:04 GMT 2025","passed","Wed Jul 23 16:52:05 GMT 2025","Proposal created logged state > Accept valid data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","7299","11D. Should share budget proposal","independent (desktop)","Wed Jul 23 16:37:18 GMT 2025","passed","Wed Jul 23 16:37:25 GMT 2025","","11-proposal-budget/proposalBudget.spec.ts","",""
"","9841","9H_2A: Should display ""Data Missing"" message in outcomes when metadata URL could not be found. in disconnect state","independent (desktop)","Wed Jul 23 16:41:30 GMT 2025","passed","Wed Jul 23 16:41:40 GMT 2025","Outcome details > Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","66787","12E_6. Should accept valid data in “Administration and Auditing” section","budget proposal","Wed Jul 23 17:03:21 GMT 2025","passed","Wed Jul 23 17:04:28 GMT 2025","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field validation","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","6909","3B. Should access DRep registration page","loggedin (desktop)","Wed Jul 23 17:05:29 GMT 2025","passed","Wed Jul 23 17:05:36 GMT 2025","","3-drep-registration/dRepRegistration.loggedin.spec.ts","",""
"","31111","7G_4. Should create a proposal with proper motion of no confidence data","proposal discussion (loggedin)","Wed Jul 23 16:54:34 GMT 2025","passed","Wed Jul 23 16:55:05 GMT 2025","Proposal created logged state > Create a proposal with proper data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","7081","Create AdaHolder 01 auth","adaholder auth setup","Wed Jul 23 16:50:49 GMT 2025","passed","Wed Jul 23 16:50:56 GMT 2025","","adaholder.auth.setup.ts","",""
"","70998","12F_4. Should reject invalid data in “Costing” section","budget proposal","Wed Jul 23 17:02:20 GMT 2025","passed","Wed Jul 23 17:03:31 GMT 2025","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field validation","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","180317","10B. Should verify a bug report form","independent (desktop)","Wed Jul 23 16:35:26 GMT 2025","broken","Wed Jul 23 16:38:26 GMT 2025","","10-user-snap/userSnap.spec.ts","",""
"","8638","9H_4A: Should display ""Data Not Verifiable"" message in outcomes when metadata hash and URL do not match and is incorrect ga format in disconnect state","independent (desktop)","Wed Jul 23 16:41:40 GMT 2025","passed","Wed Jul 23 16:41:49 GMT 2025","Outcome details > Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","8452","4P_1: Should display Data Formatted Incorrectly message in live voting when hash is valid but incorrect metadata format.","independent (desktop)","Wed Jul 23 16:39:01 GMT 2025","passed","Wed Jul 23 16:39:10 GMT 2025","Invalid Live voting Metadata","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","35532","4C_1. Should filter Governance Action Type on governance actions page","independent (desktop)","Wed Jul 23 16:38:45 GMT 2025","passed","Wed Jul 23 16:39:20 GMT 2025","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","33719","7G_2. Should create a proposal with proper treasury requests data","proposal discussion (loggedin)","Wed Jul 23 16:54:21 GMT 2025","passed","Wed Jul 23 16:54:55 GMT 2025","Proposal created logged state > Create a proposal with proper data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","10643","4C_2. Should sort Governance Action Type on governance actions page","mobile","Wed Jul 23 16:45:26 GMT 2025","passed","Wed Jul 23 16:45:36 GMT 2025","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","32511","7I_3. Should valid review submission in updates to the constitution Proposal form","proposal discussion (loggedin)","Wed Jul 23 16:54:55 GMT 2025","passed","Wed Jul 23 16:55:28 GMT 2025","Proposal created logged state > Review fillup form","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","12407","4K. Should display correct vote counts on governance details page for disconnect state","mobile","Wed Jul 23 16:45:44 GMT 2025","passed","Wed Jul 23 16:45:56 GMT 2025","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","20998","11C. Should show view-all categorized budget proposal","independent (desktop)","Wed Jul 23 16:36:57 GMT 2025","passed","Wed Jul 23 16:37:18 GMT 2025","","11-proposal-budget/proposalBudget.spec.ts","",""
"","6605","Create AdaHolder 05 auth","adaholder auth setup","Wed Jul 23 16:50:48 GMT 2025","passed","Wed Jul 23 16:50:55 GMT 2025","","adaholder.auth.setup.ts","",""
"","6194","2Y_2. Should correctly convert CIP-129/CIP-105 drep","independent (desktop)","Wed Jul 23 16:38:39 GMT 2025","passed","Wed Jul 23 16:38:45 GMT 2025","","2-delegation/delegation.spec.ts","",""
"","9577","4P_3: Should display Data Not Verifiable message in live voting when metadata hash and URL do not match.","independent (desktop)","Wed Jul 23 16:39:05 GMT 2025","passed","Wed Jul 23 16:39:14 GMT 2025","Invalid Live voting Metadata","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","180636","10C. Should verify feature form","mobile","Wed Jul 23 16:42:05 GMT 2025","broken","Wed Jul 23 16:45:05 GMT 2025","","10-user-snap/userSnap.spec.ts","",""
"","180620","10B. Should verify a bug report form","mobile","Wed Jul 23 16:41:53 GMT 2025","broken","Wed Jul 23 16:44:54 GMT 2025","","10-user-snap/userSnap.spec.ts","",""
"","115390","7H_4. Should submit a motion of no confidence proposal as governance action","proposal submission","Wed Jul 23 17:08:40 GMT 2025","failed","Wed Jul 23 17:10:35 GMT 2025","","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
