"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 08:44:23 GMT 2024","Tue Oct 15 08:44:33 GMT 2024","9345","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","Filter and sort proposals","","","8B_2. Should sort the list of proposed governance actions.",""
"passed","Tue Oct 15 08:40:49 GMT 2024","Tue Oct 15 08:40:56 GMT 2024","7108","auth setup","auth.setup.ts","","","","Create AdaHolder 03 auth",""
"passed","Tue Oct 15 08:41:18 GMT 2024","Tue Oct 15 08:41:36 GMT 2024","18275","auth setup","auth.setup.ts","","","","Create Proposal 07 auth",""
"passed","Tue Oct 15 08:46:11 GMT 2024","Tue Oct 15 08:46:19 GMT 2024","7900","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4C_2. Should sort Governance Action Type on governance actions page",""
"passed","Tue Oct 15 08:45:23 GMT 2024","Tue Oct 15 08:45:27 GMT 2024","4045","loggedin (desktop)","2-delegation/delegation.loggedin.spec.ts","","","","2D. Should show delegation options in connected state",""
"passed","Tue Oct 15 08:55:10 GMT 2024","Tue Oct 15 08:55:21 GMT 2024","10386","delegation","2-delegation/delegationFunctionality.delegation.spec.ts","Multiple delegations","","","2R. Should display a modal indicating waiting for previous transaction when delegating if the previous transaction is not completed",""
"broken","Tue Oct 15 08:43:32 GMT 2024","Tue Oct 15 08:45:02 GMT 2024","90425","mobile","4-proposal-visibility/proposalVisibility.spec.ts","","","","4B_2. Should restrict voting for users who are not registered as DReps (without wallet connected)",""
"passed","Tue Oct 15 08:44:09 GMT 2024","Tue Oct 15 08:44:15 GMT 2024","5789","mobile","6-miscellaneous/miscellaneous.spec.ts","User Snap > Feedback Tests","","","6R. Should submit an idea or new feature",""
"passed","Tue Oct 15 08:41:56 GMT 2024","Tue Oct 15 08:42:00 GMT 2024","4700","independent (desktop)","4-proposal-visibility/proposalVisibility.spec.ts","","","","4B_2. Should restrict voting for users who are not registered as DReps (without wallet connected)",""
"passed","Tue Oct 15 08:52:19 GMT 2024","Tue Oct 15 08:52:55 GMT 2024","35592","dRep","3-drep-registration/dRepRegistration.dRep.spec.ts","Temporary DReps","","","3Q Should not list dRep in the dRep directory when 'doNotList' is checked during registration",""
"passed","Tue Oct 15 08:47:07 GMT 2024","Tue Oct 15 08:48:33 GMT 2024","86593","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Accept valid data","","","7E_2. Should accept valid data in treasury proposal form",""
