"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1030","test_get_network_total_stake","test_cases","Wed Aug 13 00:21:04 GMT 2025","passed","Wed Aug 13 00:21:05 GMT 2025","","test_misc","",""
"","1123","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Wed Aug 13 00:20:49 GMT 2025","passed","Wed Aug 13 00:20:50 GMT 2025","","test_ada_holder","",""
"","4096","test_list_proposal","test_cases","Wed Aug 13 00:21:07 GMT 2025","passed","Wed Aug 13 00:21:11 GMT 2025","","test_proposal","",""
"","703","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Wed Aug 13 00:20:52 GMT 2025","passed","Wed Aug 13 00:20:52 GMT 2025","","test_ada_holder","",""
"","702","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Wed Aug 13 00:20:51 GMT 2025","passed","Wed Aug 13 00:20:52 GMT 2025","","test_ada_holder","",""
"","13714","test_get_proposal","test_cases","Wed Aug 13 00:21:11 GMT 2025","passed","Wed Aug 13 00:21:25 GMT 2025","","test_proposal","",""
"","704","test_drep_voting_power[registered_drep0]","test_cases","Wed Aug 13 00:20:59 GMT 2025","passed","Wed Aug 13 00:21:00 GMT 2025","","test_drep","",""
"","4938","test_epoch_boundary","test_cases","Wed Aug 13 00:21:25 GMT 2025","passed","Wed Aug 13 00:21:30 GMT 2025","","test_proposal","",""
"","6113","test_list_drep","test_cases","Wed Aug 13 00:20:52 GMT 2025","passed","Wed Aug 13 00:20:58 GMT 2025","","test_drep","",""
"","261","test_get_epoch_param","test_cases","Wed Aug 13 00:21:02 GMT 2025","passed","Wed Aug 13 00:21:02 GMT 2025","","test_misc","",""
"","162","test_drep_get_info[registered_drep1]","test_cases","Wed Aug 13 00:21:02 GMT 2025","passed","Wed Aug 13 00:21:02 GMT 2025","","test_drep","",""
"","774","test_drep_getVotes[registered_drep0]","test_cases","Wed Aug 13 00:20:58 GMT 2025","passed","Wed Aug 13 00:20:59 GMT 2025","","test_drep","",""
"","700","test_get_transaction_status","test_cases","Wed Aug 13 00:21:06 GMT 2025","passed","Wed Aug 13 00:21:07 GMT 2025","","test_misc","",""
"","711","test_drep_get_info[registered_drep0]","test_cases","Wed Aug 13 00:21:00 GMT 2025","passed","Wed Aug 13 00:21:01 GMT 2025","","test_drep","",""
"","142","test_drep_voting_power[registered_drep1]","test_cases","Wed Aug 13 00:21:01 GMT 2025","passed","Wed Aug 13 00:21:02 GMT 2025","","test_drep","",""
"","2466","test_get_network_metrics","test_cases","Wed Aug 13 00:21:02 GMT 2025","passed","Wed Aug 13 00:21:04 GMT 2025","","test_misc","",""
"","703","test_get_network_info","test_cases","Wed Aug 13 00:21:05 GMT 2025","passed","Wed Aug 13 00:21:06 GMT 2025","","test_misc","",""
"","709","test_drep_getVotes[registered_drep1]","test_cases","Wed Aug 13 00:21:01 GMT 2025","passed","Wed Aug 13 00:21:01 GMT 2025","","test_drep","",""
"","706","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Wed Aug 13 00:20:50 GMT 2025","passed","Wed Aug 13 00:20:51 GMT 2025","","test_ada_holder","",""
