"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","0","52","0"
"7. Proposal submission","","","1","0","19","0","0"
"Setup","","Authentication","0","0","16","0","0"
"8. Proposal Discussion Forum","","","1","0","16","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","1","0","28","0","0"
"6. Miscellaneous","","","0","2","15","0","0"
"2. Delegation","","","2","0","6","0","0"
"4. Proposal visibility","","","1","0","10","0","0"
"3. DRep registration","","","2","0","7","0","0"
"Setup","","Cleanup","2","0","1","0","0"
"5. Proposal functionality","","","0","0","1","0","0"
"Setup","","Faucet","1","0","0","0","0"
