"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2257","test_list_proposal","test_cases","Thu Dec 05 15:22:12 GMT 2024","passed","Thu Dec 05 15:22:15 GMT 2024","","test_proposal","",""
"","184","test_get_network_metrics","test_cases","Thu Dec 05 15:22:12 GMT 2024","passed","Thu Dec 05 15:22:12 GMT 2024","","test_misc","",""
"","355","test_drep_get_info[registered_drep1]","test_cases","Thu Dec 05 15:22:11 GMT 2024","passed","Thu Dec 05 15:22:11 GMT 2024","","test_drep","",""
"","817","test_epoch_boundary","test_cases","Thu Dec 05 15:22:18 GMT 2024","passed","Thu Dec 05 15:22:19 GMT 2024","","test_proposal","",""
"","355","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Thu Dec 05 15:22:09 GMT 2024","passed","Thu Dec 05 15:22:09 GMT 2024","","test_ada_holder","",""
"","370","test_drep_getVotes[registered_drep1]","test_cases","Thu Dec 05 15:22:10 GMT 2024","passed","Thu Dec 05 15:22:11 GMT 2024","","test_drep","",""
"","360","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Thu Dec 05 15:22:08 GMT 2024","passed","Thu Dec 05 15:22:09 GMT 2024","","test_ada_holder","",""
"","363","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Thu Dec 05 15:22:08 GMT 2024","passed","Thu Dec 05 15:22:08 GMT 2024","","test_ada_holder","",""
"","473","test_get_epoch_param","test_cases","Thu Dec 05 15:22:11 GMT 2024","passed","Thu Dec 05 15:22:12 GMT 2024","","test_misc","",""
"","349","test_drep_voting_power[registered_drep1]","test_cases","Thu Dec 05 15:22:11 GMT 2024","passed","Thu Dec 05 15:22:11 GMT 2024","","test_drep","",""
"","267","test_drep_voting_power[registered_drep0]","test_cases","Thu Dec 05 15:22:10 GMT 2024","passed","Thu Dec 05 15:22:10 GMT 2024","","test_drep","",""
"","382","test_get_transaction_status","test_cases","Thu Dec 05 15:22:12 GMT 2024","passed","Thu Dec 05 15:22:12 GMT 2024","","test_misc","",""
"","155","test_drep_getVotes[registered_drep0]","test_cases","Thu Dec 05 15:22:10 GMT 2024","passed","Thu Dec 05 15:22:10 GMT 2024","","test_drep","",""
"","775","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Thu Dec 05 15:22:07 GMT 2024","passed","Thu Dec 05 15:22:08 GMT 2024","","test_ada_holder","",""
"","908","test_list_drep","test_cases","Thu Dec 05 15:22:09 GMT 2024","passed","Thu Dec 05 15:22:10 GMT 2024","","test_drep","",""
"","3569","test_get_proposal","test_cases","Thu Dec 05 15:22:15 GMT 2024","passed","Thu Dec 05 15:22:18 GMT 2024","","test_proposal","",""
"","168","test_drep_get_info[registered_drep0]","test_cases","Thu Dec 05 15:22:10 GMT 2024","passed","Thu Dec 05 15:22:10 GMT 2024","","test_drep","",""
